6c:8f,0,-43
6c:8f,0,-40
6c:8f,0,-43
6c:8f,0,-38
6c:8f,0,-38
6c:8f,0,-38
6c:8f,0,-38
6c:8f,0,-39
6c:8f,0,-38
6c:8f,0,-43
6c:8f,5,-50
6c:8f,5,-44
6c:8f,5,-51
6c:8f,5,-51
6c:8f,5,-49
6c:8f,5,-51
6c:8f,5,-48
6c:8f,5,-48
6c:8f,5,-48
6c:8f,5,-48
6c:8f,5,-47
6c:8f,5,-46
6c:8f,10,-56
6c:8f,10,-55
6c:8f,10,-50
6c:8f,10,-54
6c:8f,10,-52
6c:8f,10,-51
6c:8f,10,-51
6c:8f,10,-51
6c:8f,10,-51
6c:8f,10,-50
6c:8f,10,-51
6c:8f,10,-53
6c:8f,15,-58
6c:8f,15,-58
6c:8f,15,-57
6c:8f,15,-58
6c:8f,15,-54
6c:8f,15,-53
6c:8f,15,-53
6c:8f,15,-50
6c:8f,15,-52
6c:8f,15,-54
6c:8f,15,-55
6c:8f,15,-53
6c:8f,20,-60
6c:8f,20,-54
6c:8f,20,-55
6c:8f,20,-60
6c:8f,20,-56
6c:8f,20,-57
6c:8f,20,-57
6c:8f,20,-60
6c:8f,20,-62
6c:8f,20,-61
6c:8f,20,-62
6c:8f,20,-62
6c:8f,25,-66
6c:8f,25,-63
6c:8f,25,-64
6c:8f,25,-62
6c:8f,25,-61
6c:8f,25,-60
6c:8f,25,-60
6c:8f,25,-60
6c:8f,25,-60
6c:8f,25,-60
6c:8f,25,-52
6c:8f,25,-59
6c:8f,30,-68
6c:8f,30,-60
6c:8f,30,-60
6c:8f,30,-61
6c:8f,30,-60
6c:8f,30,-58
6c:8f,30,-60
6c:8f,30,-60
6c:8f,30,-60
6c:8f,30,-61
6c:8f,30,-53
6c:8f,30,-61
